0.02,1801.945460,1808.042050,12.100162,60.902232,12.141382,148.409789,742.040360,9039.910697
0.04,1795.709843,1808.042050,12.058005,43.054268,12.141382,148.409789,524.648837,6391.542904
0.06,1789.337958,1808.042193,12.014924,35.143059,12.141383,148.409789,428.302241,5217.803563
0.08,1782.831474,1808.042050,11.970931,30.423570,12.141382,148.409789,370.833749,4517.696434
0.1,1776.192886,1808.042169,11.926044,27.199824,12.141382,148.409786,331.584069,4039.539297
0.12,1769.424172,1808.042193,11.880276,24.817463,12.141383,148.409789,302.582305,3686.226963
0.14,1762.527571,1808.042145,11.833641,22.963437,12.141383,148.409786,280.015285,3411.306176
0.16,1755.505544,1808.042050,11.786159,21.466675,12.141382,148.409789,261.799346,3189.392075
0.18,1748.360468,1808.042122,11.737842,20.224762,12.141382,148.409784,246.686985,3005.287362
0.2,1741.094716,1808.042169,11.688708,19.172137,12.141382,148.409786,233.879799,2849.265150
0.22,1733.710838,1808.042145,11.638773,18.264639,12.141382,148.409783,222.839847,2714.772429
0.24,1726.211215,1808.042193,11.588053,17.471281,12.141383,148.409789,213.189786,2597.211695
0.26,1718.598436,1808.042110,11.536568,16.769601,12.141383,148.409791,204.656015,2493.250161
0.28,1710.875124,1808.042145,11.484332,16.142860,12.141383,148.409786,197.034738,2400.405207
0.3,1703.043687,1808.042050,11.431364,15.578303,12.141382,148.409793,190.170553,2316.783537
0.32,1695.107012,1808.042050,11.377682,15.066009,12.141382,148.409789,183.942711,2240.913959
0.34,1687.067711,1808.042086,11.323304,14.598139,12.141382,148.409787,178.255695,2171.632852
0.36,1678.928386,1808.042122,11.268247,14.168395,12.141382,148.409784,173.032876,2108.006911
0.38,1670.691769,1808.042133,11.212530,13.771664,12.141382,148.409785,168.211951,2049.277151
0.4,1662.360697,1808.042169,11.156172,13.403737,12.141382,148.409786,163.741701,1994.819170
0.42,1653.937951,1808.042104,11.099191,13.061119,12.141382,148.409791,159.579548,1944.114773
0.44,1645.426194,1808.042145,11.041607,12.740877,12.141382,148.409783,155.689803,1896.728925
0.46,1636.828378,1808.042098,10.983436,12.440533,12.141381,148.409778,152.042266,1852.293791
0.48,1628.147114,1808.042193,10.924698,12.157973,12.141383,148.409789,148.611237,1810.496071
0.5,1619.385335,1808.042169,10.865414,11.891384,12.141382,148.409788,145.374611,1771.066937
0.52,1610.545783,1808.042110,10.805601,11.639201,12.141383,148.409791,142.313349,1733.773956
0.54,1601.631457,1808.042068,10.745278,11.400062,12.141382,148.409794,139.410892,1698.415794
0.56,1592.645060,1808.042145,10.684465,11.172783,12.141383,148.409786,136.652800,1664.816141
0.58,1583.589389,1808.042098,10.623181,10.956320,12.141382,148.409789,134.026377,1632.820583
0.6,1574.467331,1808.042050,10.561444,10.749756,12.141382,148.409793,131.520446,1602.292998
0.62,1565.281827,1808.042163,10.499273,10.552274,12.141382,148.409796,129.125102,1573.112659
0.64,1556.035728,1808.042050,10.436689,10.363156,12.141382,148.409789,126.831545,1545.172255
0.66,1546.731530,1808.042211,10.373709,10.181752,12.141382,148.409791,124.631939,1518.376380
0.68,1537.372244,1808.042086,10.310354,10.007488,12.141382,148.409787,122.519242,1492.639280
0.7,1527.960686,1808.042020,10.246639,9.839844,12.141382,148.409786,120.487140,1467.884115
0.72,1518.499696,1808.042122,10.182587,9.678353,12.141382,148.409784,118.529950,1444.041481
0.74,1508.991813,1808.042065,10.118213,9.522592,12.141382,148.409791,116.642540,1421.048902
0.76,1499.439997,1808.042133,10.053538,9.372178,12.141382,148.409785,114.820241,1398.849496
0.78,1489.846937,1808.042148,9.988580,9.226764,12.141382,148.409791,113.058818,1377.391848
0.8,1480.215276,1808.042169,9.923355,9.086033,12.141382,148.409786,111.354427,1356.628955
0.82,1470.547735,1808.042104,9.857884,8.949696,12.141382,148.409796,109.703564,1336.518154
0.84,1460.846963,1808.042104,9.792183,8.817490,12.141382,148.409791,108.102999,1317.020107
0.86,1451.115664,1808.042163,9.726271,8.689170,12.141382,148.409784,106.549780,1298.098873
0.88,1441.356370,1808.042145,9.660164,8.564516,12.141382,148.409783,105.041220,1279.721606
0.9,1431.571691,1808.042095,9.593880,8.443322,12.141382,148.409788,103.574813,1261.857904
0.92,1421.764037,1808.042098,9.527437,8.325400,12.141381,148.409778,102.148265,1244.479913
0.94,1411.936097,1808.042068,9.460851,8.210575,12.141382,148.409784,100.759463,1227.561645
0.96,1402.090398,1808.042193,9.394139,8.098686,12.141383,148.409789,99.406445,1211.079316
0.98,1392.229260,1808.042124,9.327316,7.989583,12.141382,148.409787,98.087391,1195.010734
1,1382.355057,1808.042169,9.260400,7.883129,12.141382,148.409788,96.800617,1179.335445
1.02,1372.470310,1808.042086,9.193407,7.779194,12.141382,148.409791,95.544562,1164.034338
1.04,1362.577113,1808.042110,9.126353,7.677659,12.141383,148.409791,94.317772,1149.089840
1.06,1352.678133,1808.042119,9.059251,7.578412,12.141382,148.409788,93.118886,1134.485215
1.08,1342.775291,1808.042068,8.992118,7.481349,12.141382,148.409794,91.946636,1120.205151
1.1,1332.871114,1808.042080,8.924969,7.386373,12.141381,148.409795,90.799854,1106.235290
1.12,1322.967459,1808.042145,8.857819,7.293393,12.141383,148.409786,89.677425,1092.562178
1.14,1313.066686,1808.042077,8.790681,7.202324,12.141382,148.409792,88.578321,1079.173202
1.16,1303.170995,1808.042098,8.723570,7.113086,12.141382,148.409789,87.501567,1066.056530
1.18,1293.282017,1808.042220,8.656500,7.025605,12.141382,148.409784,86.446267,1053.201124
