0.02,1801.714355,1808.042236,12.100529,60.902222,12.141383,148.409805,742.040222,9039.910156
0.04,1795.563232,1808.042236,12.057792,43.054291,12.141383,148.409805,524.648926,6391.545898
0.06,1789.291504,1808.041992,12.014847,35.143074,12.141381,148.409790,428.302277,5217.805664
0.08,1782.785645,1808.042236,11.970883,30.423584,12.141383,148.409805,370.833984,4517.698242
0.1,1776.206299,1808.042114,11.925967,27.199839,12.141383,148.409790,331.584167,4039.541016
0.12,1769.430542,1808.041992,11.880239,24.817476,12.141381,148.409790,302.582489,3686.228516
0.14,1762.538452,1808.041992,11.833670,22.963427,12.141382,148.409790,280.015381,3411.304688
0.16,1755.504639,1808.042236,11.786175,21.466669,12.141383,148.409805,261.799438,3189.390869
0.18,1748.357544,1808.042114,11.737843,20.224756,12.141382,148.409790,246.687057,3005.286621
0.2,1741.092163,1808.042114,11.688715,19.172132,12.141383,148.409790,233.879898,2849.264404
0.22,1733.708740,1808.042114,11.638775,18.264635,12.141383,148.409790,222.839920,2714.771729
0.24,1726.210815,1808.041992,11.588051,17.471279,12.141381,148.409790,213.189896,2597.211426
0.26,1718.599243,1808.041992,11.536569,16.769600,12.141382,148.409790,204.655930,2493.250000
0.28,1710.873535,1808.041992,11.484331,16.142860,12.141382,148.409790,197.034622,2400.405029
0.3,1703.045044,1808.042114,11.431361,15.578302,12.141382,148.409790,190.170517,2316.783447
0.32,1695.104614,1808.042236,11.377678,15.066010,12.141383,148.409805,183.942612,2240.913818
0.34,1687.066772,1808.042236,11.323298,14.598140,12.141383,148.409790,178.255676,2171.632812
0.36,1678.930420,1808.042114,11.268242,14.168396,12.141382,148.409790,173.032806,2108.007080
0.38,1670.692017,1808.041992,11.212534,13.771662,12.141381,148.409790,168.211914,2049.276611
0.4,1662.358765,1808.042114,11.156176,13.403735,12.141383,148.409790,163.741623,1994.819092
0.42,1653.936646,1808.042114,11.099194,13.061118,12.141381,148.409790,159.579544,1944.114502
0.44,1645.423706,1808.042114,11.041607,12.740876,12.141383,148.409790,155.689743,1896.728760
0.46,1636.826050,1808.042114,10.983437,12.440534,12.141382,148.409790,152.042252,1852.293701
0.48,1628.146973,1808.041992,10.924698,12.157973,12.141381,148.409790,148.611191,1810.496094
0.5,1619.384155,1808.042236,10.865413,11.891383,12.141382,148.409790,145.374619,1771.066895
0.52,1610.544556,1808.041992,10.805600,11.639200,12.141382,148.409790,142.313324,1733.773926
0.54,1601.631836,1808.041992,10.745278,11.400063,12.141381,148.409790,139.410919,1698.415771
0.56,1592.645508,1808.041992,10.684464,11.172783,12.141382,148.409790,136.652771,1664.816284
0.58,1583.587646,1808.041992,10.623181,10.956321,12.141382,148.409790,134.026382,1632.820801
0.6,1574.466675,1808.042114,10.561443,10.749756,12.141382,148.409790,131.520416,1602.293091
0.62,1565.280518,1808.042114,10.499271,10.552275,12.141382,148.409790,129.125122,1573.112793
0.64,1556.036377,1808.042236,10.436688,10.363156,12.141383,148.409805,126.831528,1545.172363
0.66,1546.729858,1808.042236,10.373709,10.181750,12.141381,148.409790,124.631958,1518.376099
0.68,1537.371094,1808.042236,10.310352,10.007485,12.141383,148.409790,122.519234,1492.639038
0.7,1527.960693,1808.042114,10.246638,9.839843,12.141382,148.409790,120.487167,1467.883911
